epoch,train_loss,train_acc,val_loss,val_acc,val_f1,time_sec
1,1.8242,48.42,1.2351,65.49,47.86,348.6
2,0.6082,82.92,0.6554,78.43,64.96,297.4
3,0.1139,97.06,0.622,84.32,74.2,272.4
4,0.0539,98.41,0.5291,87.62,78.06,271.6
5,0.0291,99.17,0.5989,87.27,77.29,284.6
6,0.0207,99.42,0.6816,85.82,76.31,270.4
7,0.0154,99.5,0.6812,86.18,76.47,275.2
8,0.0128,99.6,0.6269,88.05,78.73,406.6
9,0.0112,99.58,0.6245,88.83,79.75,274.7
10,0.0081,99.75,0.6635,87.94,78.51,248.3
11,0.0083,99.69,0.721,87.39,78.18,230.4
12,0.0085,99.71,0.6929,88.04,78.9,229.9
13,0.0062,99.79,0.6874,88.39,78.87,213.0
14,0.0073,99.72,0.7059,88.12,78.39,220.0
15,0.0063,99.76,0.6778,89.17,79.98,224.5
16,0.0046,99.83,0.827,85.71,76.13,212.2
17,0.0058,99.78,0.7269,88.29,78.58,209.3
18,0.0042,99.83,0.7288,88.18,78.98,227.2
19,0.0042,99.83,0.7316,88.86,79.47,216.9
20,0.0039,99.82,0.6739,88.93,79.82,224.3
21,0.0044,99.81,0.7583,87.82,78.73,220.4
22,0.0049,99.81,0.9038,84.96,76.18,231.8
23,0.0055,99.77,0.766,87.55,77.69,209.1
24,0.0035,99.85,0.8171,87.48,77.6,238.3
25,0.0038,99.84,0.8072,87.95,78.41,233.6
26,0.0039,99.8,0.8225,87.37,77.86,229.4
27,0.0037,99.82,0.7859,88.55,79.39,218.9
28,0.0037,99.84,0.9073,86.17,77.65,225.6
29,0.0038,99.81,0.8375,87.66,78.27,213.5
30,0.0041,99.79,0.9105,87.08,77.32,231.7
31,0.0032,99.84,0.8733,85.62,76.08,212.1
32,0.0032,99.86,0.9163,87.31,78.34,227.8
33,0.0038,99.81,0.9348,85.99,76.82,210.1
34,0.0031,99.85,0.8134,89.44,80.61,219.8
35,0.004,99.82,0.9456,87.57,78.1,326.9
36,0.0034,99.83,0.9481,87.3,77.45,300.4
37,0.0036,99.84,0.9535,86.95,77.17,355.2
38,0.0026,99.89,0.7837,89.13,80.18,339.9
39,0.0036,99.84,0.8496,88.73,79.62,355.5
40,0.0039,99.83,0.8205,89.17,80.29,374.5
41,0.0027,99.85,0.8497,88.93,79.68,351.4
