epoch,train_loss,train_acc,val_loss,val_acc,val_f1,time_sec
1,1.1109,61.73,0.9942,66.91,52.37,415.4
2,0.5287,81.52,0.9574,67.73,57.39,388.8
3,0.3381,87.9,0.8916,72.43,60.45,387.6
4,0.2478,91.27,1.2612,69.37,56.69,346.4
5,0.1937,93.14,1.3358,74.86,64.16,368.9
6,0.1481,94.8,1.1969,77.83,66.27,362.9
7,0.1257,95.63,1.0379,79.45,67.23,368.4
8,0.1224,95.61,1.1237,78.51,66.44,326.2
9,0.0932,96.71,1.1708,79.3,68.1,343.7
10,0.087,97.06,1.2896,81.06,69.85,370.3
11,0.085,96.98,1.6809,73.64,62.61,352.3
12,0.0649,97.76,1.279,80.73,70.11,315.9
13,0.0577,98.07,1.4322,78.06,67.02,303.2
14,0.0715,97.4,1.457,79.52,70.77,324.5
15,0.0513,98.19,1.3706,82.92,71.94,291.9
16,0.0499,98.19,1.6122,78.75,68.46,336.5
17,0.0501,98.2,1.5984,78.91,68.57,339.9
18,0.0481,98.28,1.4508,76.75,66.64,331.8
19,0.0516,98.07,1.668,76.29,66.22,396.4
20,0.042,98.51,2.3246,73.15,61.69,322.8
21,0.0432,98.38,1.5424,77.5,66.83,325.2
22,0.0386,98.64,1.4304,80.78,69.63,333.6
23,0.0333,98.91,2.0538,81.19,71.44,317.6
24,0.0412,98.48,2.171,70.58,62.74,331.3
25,0.0296,98.94,1.8458,81.01,69.14,321.9
26,0.0298,98.95,1.7359,74.9,62.99,324.5
27,0.0325,98.85,1.97,80.12,69.48,332.6
28,0.0287,98.97,2.3651,75.57,65.26,304.7
29,0.0292,98.94,2.1412,80.64,70.01,342.2
30,0.0305,98.91,3.0621,65.38,57.53,331.1
31,0.0321,98.83,1.5283,83.32,72.22,303.3
32,0.0221,99.27,2.3353,78.22,67.37,324.6
33,0.0239,99.14,2.0293,81.07,70.67,321.0
34,0.0266,99.09,2.2681,79.73,68.79,342.5
35,0.0253,99.06,2.145,79.84,69.89,353.8
36,0.021,99.2,1.8744,81.89,70.9,295.2
37,0.0271,98.99,1.855,76.94,65.52,313.8
38,0.0191,99.27,1.9047,76.57,66.82,324.2
39,0.0202,99.22,1.862,81.42,70.78,324.1
40,0.0188,99.33,4.0681,62.55,54.47,331.8
41,0.0178,99.37,1.8457,80.23,69.73,311.6
42,0.0212,99.25,2.4438,77.53,64.61,333.1
43,0.0316,98.87,2.7464,63.29,58.37,209.9
44,0.0208,99.29,2.2339,78.81,69.33,204.5
45,0.0163,99.35,1.9107,80.26,69.75,201.9
46,0.0147,99.47,3.3614,73.46,61.08,197.6
47,0.0183,99.31,1.8716,80.49,70.05,204.9
48,0.0171,99.4,2.8669,76.88,64.67,195.1
49,0.0217,99.23,3.5737,66.01,55.81,210.5
50,0.0221,99.16,1.704,80.83,70.51,192.8
